starttime	seconds	ctime	dtime	ttime	wait
Fri Jan 19 15:51:56 2024	1705675916	25	73	98	72
Fri Jan 19 15:51:52 2024	1705675912	39	59	98	56
Fri Jan 19 15:51:58 2024	1705675918	22	77	98	75
Fri Jan 19 15:51:59 2024	1705675919	33	66	98	66
Fri Jan 19 15:52:01 2024	1705675921	31	67	99	66
Fri Jan 19 15:51:53 2024	1705675913	24	75	99	74
Fri Jan 19 15:51:58 2024	1705675918	21	78	99	73
Fri Jan 19 15:51:52 2024	1705675912	27	72	99	71
Fri Jan 19 15:52:01 2024	1705675921	24	74	99	74
Fri Jan 19 15:51:57 2024	1705675917	35	64	99	63
Fri Jan 19 15:52:00 2024	1705675920	21	78	99	78
Fri Jan 19 15:52:01 2024	1705675921	30	69	99	69
Fri Jan 19 15:51:53 2024	1705675913	29	70	99	69
Fri Jan 19 15:51:54 2024	1705675914	26	73	99	73
Fri Jan 19 15:51:52 2024	1705675912	31	68	99	68
Fri Jan 19 15:51:57 2024	1705675917	26	74	99	72
Fri Jan 19 15:52:00 2024	1705675920	27	72	99	71
Fri Jan 19 15:51:56 2024	1705675916	25	74	99	71
Fri Jan 19 15:51:57 2024	1705675917	32	67	99	64
Fri Jan 19 15:51:51 2024	1705675911	22	77	99	77
Fri Jan 19 15:52:00 2024	1705675920	29	70	99	67
Fri Jan 19 15:51:57 2024	1705675917	29	71	99	71
Fri Jan 19 15:51:52 2024	1705675912	33	66	99	64
Fri Jan 19 15:51:55 2024	1705675915	27	72	100	72
Fri Jan 19 15:51:54 2024	1705675914	27	73	100	72
Fri Jan 19 15:51:52 2024	1705675912	33	67	100	65
Fri Jan 19 15:52:00 2024	1705675920	30	69	100	67
Fri Jan 19 15:51:51 2024	1705675911	27	72	100	70
Fri Jan 19 15:51:56 2024	1705675916	30	70	100	68
Fri Jan 19 15:52:01 2024	1705675921	29	70	100	70
Fri Jan 19 15:51:56 2024	1705675916	30	70	100	67
Fri Jan 19 15:51:52 2024	1705675912	29	71	100	71
Fri Jan 19 15:51:52 2024	1705675912	30	69	100	68
Fri Jan 19 15:52:01 2024	1705675921	30	70	100	70
Fri Jan 19 15:51:59 2024	1705675919	31	69	100	66
Fri Jan 19 15:51:54 2024	1705675914	33	66	100	66
Fri Jan 19 15:51:56 2024	1705675916	36	63	100	63
Fri Jan 19 15:51:52 2024	1705675912	28	71	100	70
Fri Jan 19 15:51:59 2024	1705675919	33	67	100	67
Fri Jan 19 15:51:55 2024	1705675915	27	73	100	72
Fri Jan 19 15:51:59 2024	1705675919	29	71	100	70
Fri Jan 19 15:51:53 2024	1705675913	31	70	100	68
Fri Jan 19 15:51:52 2024	1705675912	31	69	100	66
Fri Jan 19 15:52:00 2024	1705675920	27	73	100	72
Fri Jan 19 15:51:57 2024	1705675917	34	66	100	66
Fri Jan 19 15:52:01 2024	1705675921	32	68	100	68
