starttime	seconds	ctime	dtime	ttime	wait
Fri Jan 19 15:51:53 2024	1705675913	37	80	117	76
Fri Jan 19 15:51:57 2024	1705675917	26	91	117	88
Fri Jan 19 15:51:53 2024	1705675913	33	85	117	83
Fri Jan 19 15:51:56 2024	1705675916	33	85	118	84
Fri Jan 19 15:51:57 2024	1705675917	27	90	118	89
Fri Jan 19 15:51:56 2024	1705675916	29	89	118	87
Fri Jan 19 15:51:53 2024	1705675913	29	89	118	87
Fri Jan 19 15:51:57 2024	1705675917	28	90	118	85
Fri Jan 19 15:51:55 2024	1705675915	32	86	118	84
Fri Jan 19 15:51:56 2024	1705675916	27	91	118	89
Fri Jan 19 15:51:53 2024	1705675913	28	90	118	90
Fri Jan 19 15:51:53 2024	1705675913	28	91	118	88
Fri Jan 19 15:52:00 2024	1705675920	28	90	119	88
Fri Jan 19 15:51:57 2024	1705675917	23	96	119	96
Fri Jan 19 15:52:01 2024	1705675921	26	92	119	92
Fri Jan 19 15:51:55 2024	1705675915	30	88	119	88
Fri Jan 19 15:51:52 2024	1705675912	34	85	119	78
Fri Jan 19 15:52:00 2024	1705675920	38	81	119	79
Fri Jan 19 15:51:58 2024	1705675918	28	91	119	89
Fri Jan 19 15:51:52 2024	1705675912	40	79	119	78
Fri Jan 19 15:52:00 2024	1705675920	26	94	120	93
Fri Jan 19 15:52:01 2024	1705675921	31	90	120	88
Fri Jan 19 15:51:55 2024	1705675915	32	89	120	88
Fri Jan 19 15:51:58 2024	1705675918	29	91	120	90
Fri Jan 19 15:52:01 2024	1705675921	36	84	120	82
Fri Jan 19 15:52:01 2024	1705675921	33	87	120	86
Fri Jan 19 15:52:01 2024	1705675921	29	91	121	90
Fri Jan 19 15:51:51 2024	1705675911	32	89	121	88
Fri Jan 19 15:51:54 2024	1705675914	29	92	121	92
Fri Jan 19 15:51:56 2024	1705675916	30	92	121	91
Fri Jan 19 15:51:55 2024	1705675915	25	96	121	94
Fri Jan 19 15:51:51 2024	1705675911	44	78	122	77
Fri Jan 19 15:51:58 2024	1705675918	33	89	122	89
Fri Jan 19 15:51:53 2024	1705675913	30	92	122	90
Fri Jan 19 15:52:00 2024	1705675920	38	85	123	85
Fri Jan 19 15:52:01 2024	1705675921	37	86	123	85
Fri Jan 19 15:51:56 2024	1705675916	39	84	123	79
Fri Jan 19 15:51:57 2024	1705675917	28	95	123	93
Fri Jan 19 15:51:53 2024	1705675913	33	91	124	89
Fri Jan 19 15:51:59 2024	1705675919	27	96	124	96
Fri Jan 19 15:52:00 2024	1705675920	31	93	124	92
Fri Jan 19 15:51:59 2024	1705675919	39	85	124	83
Fri Jan 19 15:51:55 2024	1705675915	30	95	124	92
Fri Jan 19 15:52:01 2024	1705675921	27	98	125	97
Fri Jan 19 15:51:57 2024	1705675917	24	101	125	97
Fri Jan 19 15:52:01 2024	1705675921	33	93	126	90
Fri Jan 19 15:51:57 2024	1705675917	31	95	126	93
Fri Jan 19 15:51:55 2024	1705675915	34	92	126	89
Fri Jan 19 15:51:52 2024	1705675912	30	96	126	96
Fri Jan 19 15:51:53 2024	1705675913	24	104	127	100
